Date,Price,Open,High,Low,Volume,ChangePct,PriceChange,Gain,Loss,RSI14,Year,PE,EPS,DividendYield,PB,DebtToEquity,NetIncomeMargin,KSE_Open,KSE_High,KSE_Low,KSE_Close,KSE_Volume,KSE_Change,Target_90d,Return_90d
2021-03-25,20.79,20.6,21.06,20.27,1250000,0.03,0.00999999999999801,0.00999999999999801,0.0,51.797385620915016,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,706.58","46,000.11","45,544.20","45,726.16",292291360,181.97,25.74,0.23809523809523808
2021-03-26,20.42,20.47,20.63,20.27,993500,-1.78,-0.36999999999999744,0.0,0.36999999999999744,49.68652037617555,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,705.66","45,757.56","45,436.91","45,521.63",320731840,-204.53,25.32,0.23996082272282068
2021-03-29,18.98,20.24,20.4,18.89,449800,-7.05,-1.4400000000000013,0.0,1.4400000000000013,43.012211668928074,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,450.18","45,521.63","44,315.43","44,431.80",315906656,"-1,089.83",24.99,0.3166491043203371
2021-03-30,19.61,19.0,20.14,18.88,776170,3.34,0.629999999999999,0.629999999999999,0.0,52.341597796143255,2021,14.89,1.63,0.0,1.5,22.1,7.73,"44,404.48","44,808.63","44,199.26","44,491.03",174584784,59.23,24.62,0.25548189699133106
2021-03-31,20.18,19.81,20.79,19.41,1770000,2.9,0.5700000000000003,0.5700000000000003,0.0,62.33951497860201,2021,14.89,1.63,0.0,1.5,22.1,7.73,"44,778.36","45,133.25","44,477.90","44,587.85",252331488,96.82,25.38,0.25768087215064417
2021-04-01,20.64,19.82,21.06,19.47,2310000,2.29,0.46000000000000085,0.46000000000000085,0.0,72.7409638554217,2021,14.89,1.63,0.0,1.5,22.1,7.73,"44,679.04","44,877.46","44,334.22","44,428.10",188011216,-159.75,25.84,0.251937984496124
2021-04-02,20.42,20.73,21.53,20.34,4360000,-1.09,-0.21999999999999886,0.0,0.21999999999999886,66.16666666666669,2021,14.89,1.63,0.0,1.5,22.1,7.73,"44,573.64","44,609.28","44,197.90","44,300.95",140304480,-127.15,26.81,0.31292850146914775
2021-04-05,19.31,20.59,20.79,19.09,1090000,-5.4,-1.110000000000003,0.0,1.110000000000003,51.24223602484472,2021,14.89,1.63,0.0,1.5,22.1,7.73,"44,420.14","44,431.24","43,471.19","43,548.21",138704432,-752.74,27.82,0.440704298291041
2021-04-06,20.09,19.25,20.3,19.25,980620,4.03,0.7800000000000011,0.7800000000000011,0.0,55.14285714285713,2021,14.89,1.63,0.0,1.5,22.1,7.73,"43,617.27","44,478.24","43,548.21","44,404.70",157796832,856.49,27.46,0.36684917869586864
2021-04-07,19.64,20.27,20.28,19.48,502050,-2.27,-0.4499999999999993,0.0,0.4499999999999993,47.59124087591242,2021,14.89,1.63,0.0,1.5,22.1,7.73,"44,539.72","44,571.91","43,758.05","43,953.58",194927408,-451.12,26.42,0.3452138492871691
2021-04-08,19.7,19.58,19.93,19.58,282450,0.34,0.05999999999999872,0.05999999999999872,0.0,45.357686453576875,2021,14.89,1.63,0.0,1.5,22.1,7.73,"44,176.50","44,759.37","43,953.58","44,741.36",185496496,787.78,26.37,0.33857868020304577
2021-04-09,19.52,19.8,19.97,18.48,5410000,-0.94,-0.17999999999999972,0.0,0.17999999999999972,43.13725490196078,2021,14.89,1.63,0.0,1.5,22.1,7.73,"44,911.73","45,249.61","44,741.36","45,186.48",292840800,445.12,26.06,0.3350409836065573
2021-04-12,19.47,19.52,19.84,19.19,902630,-0.24,-0.05000000000000071,0.0,0.05000000000000071,40.683229813664575,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,221.17","45,267.43","44,758.34","44,978.05",173344432,-208.43,26.64,0.36825885978428363
2021-04-13,19.09,19.15,19.58,18.82,598980,-1.97,-0.379999999999999,0.0,0.379999999999999,37.406855439642314,2021,14.89,1.63,0.0,1.5,22.1,7.73,"44,933.70","45,133.41","44,780.06","45,048.57",183665472,70.52,26.64,0.3954950235725511
2021-04-14,19.27,19.19,19.58,19.15,399820,0.93,0.17999999999999972,0.17999999999999972,0.0,38.95348837209302,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,105.00","45,347.40","45,048.57","45,311.22",135766960,262.65,26.28,0.36377789309808
2021-04-15,19.8,19.16,20.32,18.85,1030000,2.78,0.5300000000000011,0.5300000000000011,0.0,45.59659090909091,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,389.97","45,447.49","45,174.89","45,230.18",85559304,-81.04,26.1,0.31818181818181823
2021-04-16,19.91,19.62,20.37,19.62,1700000,0.53,0.10999999999999943,0.10999999999999943,0.0,58.143607705779324,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,343.55","45,471.35","45,230.18","45,305.63",55283680,75.45,25.98,0.30487192365645405
2021-04-19,20.17,19.55,20.44,19.38,1390000,1.29,0.26000000000000156,0.26000000000000156,0.0,55.24344569288392,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,210.00","45,305.63","44,611.83","44,913.57",130721496,-392.06,25.45,0.26177491323748125
2021-04-20,19.92,20.34,20.77,19.61,4310000,-1.21,-0.25,0.0,0.25,47.41035856573707,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,120.25","45,558.13","44,913.57","45,399.78",128388088,486.21,25.41,0.2756024096385541
2021-04-21,19.8,20.09,20.23,19.75,971540,-0.6,-0.120000000000001,0.0,0.120000000000001,41.025641025641036,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,538.07","45,626.88","45,226.18","45,306.54",171317728,-93.24,26.13,0.3196969696969696
2021-04-22,19.74,19.71,20.13,19.22,1030000,-0.3,-0.060000000000002274,0.0,0.060000000000002274,42.477876106194664,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,381.00","45,496.82","44,882.75","44,929.61",139518400,-376.93,26.85,0.3601823708206689
2021-04-23,18.96,19.64,19.81,18.26,4240000,-3.98,-0.7799999999999976,0.0,0.7799999999999976,45.823389021479734,2021,14.89,1.63,0.0,1.5,22.1,7.73,"44,929.61","44,929.61","44,363.40","44,706.76",96999704,-222.85,26.81,0.41402953586497876
2021-04-26,18.4,18.36,18.75,17.67,1530000,-2.93,-0.5600000000000023,0.0,0.5600000000000023,28.715365239294712,2021,14.89,1.63,0.0,1.5,22.1,7.73,"44,685.75","45,952.45","44,389.68","45,682.77",203148832,976.01,25.85,0.4048913043478263
2021-04-27,17.83,18.49,18.74,17.5,1560000,-3.12,-0.5700000000000003,0.0,0.5700000000000003,27.87286063569681,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,688.92","45,937.68","45,169.80","45,292.87",172197104,-389.9,26.04,0.4604598990465508
2021-04-28,18.32,18.09,18.55,17.63,1340000,2.74,0.490000000000002,0.490000000000002,0.0,34.73451327433631,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,309.85","45,588.94","45,020.83","45,059.12",140802096,-233.75,25.82,0.4093886462882096
2021-04-29,18.97,18.33,19.08,18.33,1050000,3.57,0.6499999999999986,0.6499999999999986,0.0,44.48897795591182,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,088.55","45,143.34","44,781.30","44,863.11",138724896,-196.01,26.35,0.38903531892461796
2021-04-30,18.58,18.82,18.84,18.26,508860,-2.05,-0.39000000000000057,0.0,0.39000000000000057,41.651031894934334,2021,14.89,1.63,0.0,1.5,22.1,7.73,"44,958.72","45,056.90","44,151.69","44,262.35",153942599,-600.76,26.03,0.40096878363832095
2021-05-03,18.48,18.3,18.59,17.64,422540,-0.53,-0.09999999999999787,0.0,0.09999999999999787,43.96039603960398,2021,14.89,1.63,0.0,1.5,22.1,7.73,"44,239.54","44,326.01","43,630.07","44,076.20",123681720,-186.15,25.08,0.35714285714285704
