Date,Price,Open,High,Low,Volume,ChangePct,PriceChange,Gain,Loss,RSI14,Year,PE,EPS,DividendYield,PB,DebtToEquity,RoAA,KSE_Open,KSE_High,KSE_Low,KSE_Close,KSE_Volume,KSE_Change,Target_90d,Return_90d
2021-03-15,33.9,34.15,34.15,33.26,345000,-0.29,-0.10000000000000142,0.0,0.10000000000000142,26.067415730337117,2021,2.57,13.44,2.9,0.25,286.21,0.83,"44,288.74","44,839.19","43,788.08","44,766.59",239525872,978.51,34.9,0.029498525073746312
2021-03-16,33.99,33.89,34.0,33.7,345500,0.27,0.09000000000000341,0.09000000000000341,0.0,32.87858117326063,2021,2.57,13.44,2.9,0.25,286.21,0.83,"44,869.17","44,910.93","44,545.43","44,857.06",168350848,90.47,35.1,0.03265666372462487
2021-03-17,33.72,34.3,34.3,33.7,2380000,-0.79,-0.2700000000000031,0.0,0.2700000000000031,28.413793103448327,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,203.19","45,540.63","44,857.06","45,450.31",262197536,593.25,35.75,0.0602016607354686
2021-03-18,33.02,33.8,33.87,33.02,627000,-2.08,-0.6999999999999957,0.0,0.6999999999999957,30.700447093889792,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,519.33","45,612.95","44,641.49","44,724.09",299368672,-726.22,35.26,0.06783767413688657
2021-03-19,33.5,33.25,33.94,33.06,1310000,1.45,0.4799999999999969,0.4799999999999969,0.0,37.188872620790654,2021,2.57,13.44,2.9,0.25,286.21,0.83,"44,768.18","45,172.33","44,393.28","44,901.31",288732416,177.22,34.97,0.04388059701492534
2021-03-22,32.7,33.45,33.45,32.6,2560000,-2.39,-0.7999999999999972,0.0,0.7999999999999972,33.509234828496076,2021,2.57,13.44,2.9,0.25,286.21,0.83,"44,918.72","45,465.13","44,735.59","45,407.33",277038048,506.02,34.52,0.05565749235474007
2021-03-24,33.2,32.7,33.2,32.2,1320000,1.53,0.5,0.5,0.0,38.095238095238116,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,390.73","45,593.61","45,258.99","45,544.19",271922368,136.86,34.71,0.045481927710843306
2021-03-25,32.81,33.15,33.55,32.7,718000,-1.17,-0.39000000000000057,0.0,0.39000000000000057,36.75937122128177,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,706.58","46,000.11","45,544.20","45,726.16",292291360,181.97,34.75,0.05912831453825046
2021-03-26,32.76,33.0,33.0,32.65,286000,-0.15,-0.05000000000000426,0.0,0.05000000000000426,33.50125944584383,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,705.66","45,757.56","45,436.91","45,521.63",320731840,-204.53,34.3,0.04700854700854699
2021-03-29,31.8,32.51,32.85,31.8,514500,-2.93,-0.9599999999999973,0.0,0.9599999999999973,33.16708229426436,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,450.18","45,521.63","44,315.43","44,431.80",315906656,"-1,089.83",34.26,0.07735849056603765
2021-03-30,32.0,32.25,32.25,31.6,929500,0.63,0.1999999999999993,0.1999999999999993,0.0,35.48387096774192,2021,2.57,13.44,2.9,0.25,286.21,0.83,"44,404.48","44,808.63","44,199.26","44,491.03",174584784,59.23,34.0,0.0625
2021-03-31,32.2,32.25,32.5,31.95,1650000,0.63,0.20000000000000284,0.20000000000000284,0.0,43.58974358974361,2021,2.57,13.44,2.9,0.25,286.21,0.83,"44,778.36","45,133.25","44,477.90","44,587.85",252331488,96.82,33.83,0.050621118012422216
2021-04-01,32.0,32.45,32.5,31.82,217500,-0.62,-0.20000000000000284,0.0,0.20000000000000284,46.860643185298656,2021,2.57,13.44,2.9,0.25,286.21,0.83,"44,679.04","44,877.46","44,334.22","44,428.10",188011216,-159.75,33.7,0.05312500000000009
2021-04-02,31.85,31.85,32.19,31.7,115000,-0.47,-0.14999999999999858,0.0,0.14999999999999858,28.88015717092341,2021,2.57,13.44,2.9,0.25,286.21,0.83,"44,573.64","44,609.28","44,197.90","44,300.95",140304480,-127.15,34.25,0.07535321821036102
2021-04-05,31.05,31.71,31.88,31.0,209500,-2.51,-0.8000000000000007,0.0,0.8000000000000007,25.388601036269463,2021,2.57,13.44,2.9,0.25,286.21,0.83,"44,420.14","44,431.24","43,471.19","43,548.21",138704432,-752.74,34.2,0.1014492753623189
2021-04-06,31.6,31.2,31.93,31.11,970000,1.77,0.5500000000000007,0.5500000000000007,0.0,30.879999999999995,2021,2.57,13.44,2.9,0.25,286.21,0.83,"43,617.27","44,478.24","43,548.21","44,404.70",157796832,856.49,34.38,0.08797468354430384
2021-04-07,30.5,31.5,31.75,30.25,1950000,-3.48,-1.1000000000000014,0.0,1.1000000000000014,27.259887005649716,2021,2.57,13.44,2.9,0.25,286.21,0.83,"44,539.72","44,571.91","43,758.05","43,953.58",194927408,-451.12,33.89,0.11114754098360657
2021-04-08,30.8,30.88,31.45,30.25,410000,0.98,0.3000000000000007,0.3000000000000007,0.0,33.38323353293411,2021,2.57,13.44,2.9,0.25,286.21,0.83,"44,176.50","44,759.37","43,953.58","44,741.36",185496496,787.78,33.05,0.07305194805194794
2021-04-09,31.91,31.25,32.01,31.1,1060000,3.6,1.1099999999999994,1.1099999999999994,0.0,39.124487004103976,2021,2.57,13.44,2.9,0.25,286.21,0.83,"44,911.73","45,249.61","44,741.36","45,186.48",292840800,445.12,33.41,0.04700720777185824
2021-04-12,31.0,31.91,32.0,30.6,1510000,-2.85,-0.9100000000000001,0.0,0.9100000000000001,38.54447439353099,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,221.17","45,267.43","44,758.34","44,978.05",173344432,-208.43,33.6,0.08387096774193553
2021-04-13,31.1,30.37,31.49,30.36,2280000,0.32,0.10000000000000142,0.10000000000000142,0.0,35.042735042735046,2021,2.57,13.44,2.9,0.25,286.21,0.83,"44,933.70","45,133.41","44,780.06","45,048.57",183665472,70.52,33.61,0.08070739549839222
2021-04-14,31.5,31.59,31.69,31.31,1590000,1.29,0.3999999999999986,0.3999999999999986,0.0,40.682788051209094,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,105.00","45,347.40","45,048.57","45,311.22",135766960,262.65,33.37,0.05936507936507928
2021-04-15,31.5,31.56,31.8,31.37,968000,0.0,0.0,0.0,0.0,40.97421203438397,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,389.97","45,447.49","45,174.89","45,230.18",85559304,-81.04,33.01,0.047936507936507874
2021-04-16,31.8,31.65,32.45,31.6,739500,0.95,0.3000000000000007,0.3000000000000007,0.0,50.0,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,343.55","45,471.35","45,230.18","45,305.63",55283680,75.45,32.8,0.031446540880503034
2021-04-19,32.0,31.68,32.46,31.31,3960000,0.63,0.1999999999999993,0.1999999999999993,0.0,50.0,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,210.00","45,305.63","44,611.83","44,913.57",130721496,-392.06,33.1,0.034375000000000044
2021-04-20,33.7,32.39,33.74,32.09,2760000,5.31,1.7000000000000028,1.7000000000000028,0.0,59.59079283887467,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,120.25","45,558.13","44,913.57","45,399.78",128388088,486.21,32.65,-0.031157270029673716
2021-04-21,35.6,33.61,35.89,33.61,4580000,5.64,1.8999999999999986,1.8999999999999986,0.0,68.90756302521008,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,538.07","45,626.88","45,226.18","45,306.54",171317728,-93.24,32.5,-0.08707865168539329
2021-04-22,34.9,35.01,35.6,34.55,768000,-1.97,-0.7000000000000028,0.0,0.7000000000000028,65.14399205561071,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,381.00","45,496.82","44,882.75","44,929.61",139518400,-376.93,32.82,-0.059598853868194794
2021-04-23,36.35,35.1,36.5,34.8,1820000,4.15,1.4500000000000028,1.4500000000000028,0.0,74.72014925373132,2021,2.57,13.44,2.9,0.25,286.21,0.83,"44,929.61","44,929.61","44,363.40","44,706.76",96999704,-222.85,33.0,-0.09215955983493813
2021-04-26,36.5,36.01,37.2,35.75,2049999,0.41,0.14999999999999858,0.14999999999999858,0.0,73.74031007751935,2021,2.57,13.44,2.9,0.25,286.21,0.83,"44,685.75","45,952.45","44,389.68","45,682.77",203148832,976.01,32.81,-0.10109589041095884
2021-04-27,36.5,36.85,36.9,35.61,1320000,0.0,0.0,0.0,0.0,82.53796095444683,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,688.92","45,937.68","45,169.80","45,292.87",172197104,-389.9,32.9,-0.09863013698630141
2021-04-28,35.15,36.6,37.1,35.03,1930000,-3.7,-1.3500000000000014,0.0,1.3500000000000014,71.17818889970786,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,309.85","45,588.94","45,020.83","45,059.12",140802096,-233.75,33.13,-0.05746799431009946
2021-04-29,34.5,35.85,35.85,34.5,474000,-1.85,-0.6499999999999986,0.0,0.6499999999999986,63.20081549439347,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,088.55","45,143.34","44,781.30","44,863.11",138724896,-196.01,34.64,0.00405797101449277
2021-04-30,33.15,34.95,34.99,32.5,1080000,-3.91,-1.3500000000000014,0.0,1.3500000000000014,60.48780487804876,2021,2.57,13.44,2.9,0.25,286.21,0.83,"44,958.72","45,056.90","44,151.69","44,262.35",153942599,-600.76,34.0,0.025641025641025685
2021-05-03,32.65,32.95,33.5,31.6,516000,-1.51,-0.5,0.0,0.5,57.276995305164306,2021,2.57,13.44,2.9,0.25,286.21,0.83,"44,239.54","44,326.01","43,630.07","44,076.20",123681720,-186.15,33.9,0.03828483920367535
2021-05-04,32.55,32.6,32.9,32.53,134500,-0.31,-0.10000000000000142,0.0,0.10000000000000142,55.07246376811592,2021,2.57,13.44,2.9,0.25,286.21,0.83,"44,085.81","44,620.41","44,076.20","44,563.59",107791096,487.39,33.99,0.04423963133640568
2021-05-05,32.67,32.7,33.35,32.5,152500,0.37,0.12000000000000455,0.12000000000000455,0.0,55.58739255014327,2021,2.57,13.44,2.9,0.25,286.21,0.83,"44,649.16","45,173.61","44,563.59","44,943.61",129041504,380.02,33.81,0.034894398530762184
2021-05-06,32.96,32.61,32.96,32.5,179500,0.89,0.28999999999999915,0.28999999999999915,0.0,55.544933078393875,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,013.06","45,245.37","44,889.59","45,174.67",78642208,231.06,33.68,0.021844660194174723
2021-05-17,32.61,33.24,33.3,32.49,1300000,-1.06,-0.3500000000000014,0.0,0.3500000000000014,52.8746465598492,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,341.47","45,806.98","45,174.67","45,796.31",201797360,621.64,33.59,0.030052131248083532
2021-05-18,33.4,32.75,33.42,32.6,1530000,2.42,0.7899999999999991,0.7899999999999991,0.0,48.45360824742266,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,797.29","46,033.92","45,618.78","45,981.82",216311584,185.51,33.6,0.005988023952095894
2021-05-19,33.0,33.1,33.38,32.3,1740000,-1.2,-0.3999999999999986,0.0,0.3999999999999986,34.14634146341464,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,949.63","45,981.82","45,612.88","45,682.11",297041696,-299.71,33.15,0.004545454545454503
2021-05-20,32.8,33.0,33.15,32.75,401000,-0.61,-0.20000000000000284,0.0,0.20000000000000284,36.363636363636374,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,683.86","45,831.12","45,518.74","45,574.07",372516320,-108.04,33.31,0.015548780487805036
2021-05-21,33.0,32.9,33.1,32.61,438500,0.61,0.20000000000000284,0.20000000000000284,0.0,24.031007751938006,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,574.46","45,948.11","45,560.13","45,914.98",294703616,340.91,33.84,0.02545454545454556
2021-05-24,32.95,32.95,33.6,32.92,1090000,-0.15,-0.04999999999999716,0.0,0.04999999999999716,22.04724409448825,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,961.70","46,314.83","45,914.98","46,097.11",190660064,182.13,33.7,0.02276176024279211
2021-05-25,33.21,33.2,33.3,32.91,3040000,0.79,0.259999999999998,0.259999999999998,0.0,25.113464447806393,2021,2.57,13.44,2.9,0.25,286.21,0.83,"46,121.47","46,369.19","46,048.84","46,300.66",224827392,203.55,33.21,0.0
