Date,Price,Open,High,Low,Volume,ChangePct,PriceChange,Gain,Loss,RSI14,Year,PE,EPS,DividendYield,PB,DebtToEquity,NetIncomeMargin,KSE_Open,KSE_High,KSE_Low,KSE_Close,KSE_Volume,KSE_Change,Target_90d,Return_90d
2021-02-17,64.85,65.15,65.5,64.67,1680000,-0.77,-0.5,0.0,0.5,46.564885496183194,2021,4.82,15.8,21.69,2.16,56.35,15.94,"47,118.53","47,305.86","46,726.85","46,768.14",223532672,-99.81,70.86,0.09267540478026223
2021-02-18,64.79,64.99,65.25,64.7,1820000,-0.09,-0.05999999999998806,0.0,0.05999999999998806,47.21362229102168,2021,4.82,15.8,21.69,2.16,56.35,15.94,"46,805.76","46,817.51","46,120.61","46,142.74",207847632,-625.4,71.6,0.10510881308843938
2021-02-19,65.1,64.6,65.1,64.35,1440000,0.48,0.30999999999998806,0.30999999999998806,0.0,50.8320726172466,2021,4.82,15.8,21.69,2.16,56.35,15.94,"46,140.11","46,378.35","46,137.20","46,227.65",311675776,84.91,71.95,0.10522273425499246
2021-02-22,65.0,64.95,65.15,64.6,1550000,-0.15,-0.09999999999999432,0.0,0.09999999999999432,50.0,2021,4.82,15.8,21.69,2.16,56.35,15.94,"46,348.38","46,402.73","45,763.05","45,890.04",291823040,-337.61,72.0,0.1076923076923077
2021-02-23,64.8,64.95,65.24,64.75,1890000,-0.31,-0.20000000000000284,0.0,0.20000000000000284,46.37462235649542,2021,4.82,15.8,21.69,2.16,56.35,15.94,"46,048.59","46,083.66","45,663.03","45,728.75",255788240,-161.29,73.6,0.13580246913580243
2021-02-24,64.78,65.0,65.05,64.38,3040000,-0.03,-0.01999999999999602,0.0,0.01999999999999602,43.601895734597115,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,781.75","45,887.77","45,205.48","45,362.58",280616896,-366.17,73.0,0.12689101574560047
2021-02-25,65.18,64.97,65.2,64.8,1140000,0.62,0.4000000000000057,0.4000000000000057,0.0,52.317880794702006,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,628.92","46,004.68","45,362.58","45,965.62",202124992,603.04,73.21,0.12319729978520998
2021-02-26,65.16,65.25,65.49,64.8,1620000,-0.03,-0.020000000000010232,0.0,0.020000000000010232,62.45059288537552,2021,4.82,15.8,21.69,2.16,56.35,15.94,"46,051.00","46,239.89","45,753.07","45,865.02",233028816,-100.6,73.69,0.13090853284223453
2021-03-01,65.15,65.11,65.39,64.8,1230000,-0.02,-0.009999999999990905,0.0,0.009999999999990905,68.39826839826853,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,865.02","46,009.38","45,092.80","45,593.43",176269632,-271.59,72.26,0.10913277052954717
2021-03-02,65.48,65.48,65.5,65.12,1120000,0.51,0.3299999999999983,0.3299999999999983,0.0,79.31818181818208,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,633.00","46,077.92","45,535.87","45,964.27",203497232,370.84,72.0,0.0995723885155772
