Date,Price,Open,High,Low,Volume,ChangePct,PriceChange,Gain,Loss,RSI14,Year,PE,EPS,DividendYield,PB,DebtToEquity,NetIncomeMargin,KSE_Open,KSE_High,KSE_Low,KSE_Close,KSE_Volume,KSE_Change,Target_90d,Return_90d
2021-01-01,140.02,141.96,143.75,139.23,1310000,0.3,,0.0,0.0,,2021,103.19,1.25,0.0,4.25,29.85,1.88,"43,934.81","44,874.86","43,755.38","44,434.80",384746880,679.42,130.38,-0.06884730752749617
2021-01-04,137.31,140.77,142.0,136.38,1010000,-1.94,-2.710000000000008,0.0,2.710000000000008,,2021,103.19,1.25,0.0,4.25,29.85,1.88,"44,920.08","45,074.37","44,434.80","44,686.46",334371008,251.66,129.0,-0.0605199912606511
2021-01-05,140.02,137.23,143.07,136.55,1070000,1.97,2.710000000000008,2.710000000000008,0.0,,2021,103.19,1.25,0.0,4.25,29.85,1.88,"44,593.86","44,830.28","44,458.71","44,650.43",282080000,-36.03,130.29,-0.0694900728467363
2021-01-06,150.83,143.38,150.83,141.92,2660000,7.72,10.810000000000002,10.810000000000002,0.0,,2021,103.19,1.25,0.0,4.25,29.85,1.88,"44,852.92","45,194.63","44,650.43","45,153.42",372801568,502.99,131.15,-0.13047802161373737
2021-01-07,151.58,153.85,158.27,147.74,5380000,0.49,0.75,0.75,0.0,,2021,103.19,1.25,0.0,4.25,29.85,1.88,"45,320.50","45,619.80","45,153.42","45,344.54",393666592,191.12,130.77,-0.13728724106082596
2021-01-08,148.46,152.31,152.38,148.15,1200000,-2.06,-3.1200000000000045,0.0,3.1200000000000045,,2021,103.19,1.25,0.0,4.25,29.85,1.88,"45,501.00","45,916.33","45,344.54","45,654.34",456584992,309.8,131.54,-0.11397009295433123
2021-01-11,145.14,149.23,149.62,144.62,807560,-2.24,-3.3200000000000216,0.0,3.3200000000000216,,2021,103.19,1.25,0.0,4.25,29.85,1.88,"45,860.00","46,109.36","45,529.48","45,605.42",264622368,-48.92,129.24,-0.1095494005787514
2021-01-12,147.54,145.77,149.22,144.62,1190000,1.65,2.4000000000000057,2.4000000000000057,0.0,,2021,103.19,1.25,0.0,4.25,29.85,1.88,"45,707.70","46,013.36","45,605.42","45,922.04",506698976,316.62,129.25,-0.12396638199810216
2021-01-13,145.54,148.45,148.77,145.38,749840,-1.36,-2.0,0.0,2.0,,2021,103.19,1.25,0.0,4.25,29.85,1.88,"46,188.48","46,314.15","45,922.04","46,091.96",466059840,169.92,131.92,-0.0935825202693418
2021-01-14,144.62,145.58,146.15,142.7,653250,-0.63,-0.9199999999999875,0.0,0.9199999999999875,,2021,103.19,1.25,0.0,4.25,29.85,1.88,"46,229.87","46,272.58","45,852.83","45,989.35",284611936,-102.61,136.35,-0.05718434518047303
2021-01-15,143.62,142.92,147.88,142.92,1010000,-0.69,-1.0,0.0,1.0,,2021,103.19,1.25,0.0,4.25,29.85,1.88,"46,086.81","46,177.38","45,875.21","45,931.00",221742592,-58.35,141.15,-0.01719816181590307
2021-01-18,140.85,143.46,144.22,140.58,613080,-1.93,-2.7700000000000102,0.0,2.7700000000000102,,2021,103.19,1.25,0.0,4.25,29.85,1.88,"45,947.26","46,047.56","45,714.17","45,726.68",285079136,-204.32,139.77,-0.007667731629392859
2021-01-19,139.85,140.01,141.92,139.24,545090,-0.7,-1.0,0.0,1.0,,2021,103.19,1.25,0.0,4.25,29.85,1.88,"45,726.68","45,978.14","45,596.81","45,903.23",222199184,176.55,142.55,0.019306399713979388
2021-01-20,140.38,140.68,142.31,139.62,457730,0.38,0.5300000000000011,0.5300000000000011,0.0,50.52878965922443,2021,103.19,1.25,0.0,4.25,29.85,1.88,"45,806.08","45,903.23","45,545.43","45,676.94",218829984,-226.29,142.31,0.013748397207579477
2021-01-21,139.98,140.46,141.85,139.69,264420,-0.29,-0.4000000000000057,0.0,0.4000000000000057,49.94192799070844,2021,103.19,1.25,0.0,4.25,29.85,1.88,"45,708.78","46,143.53","45,676.94","45,984.46",333340928,307.52,139.61,-0.002643234747820947
